,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
"FCF, млрд руб",Лента,,,,,,,,,,,,,,,,,-22.8,-3.2,-0.25,17.0,22.7,7.1,8.6
"Див.выплата, млрд руб",Лента,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
"Дивиденд, руб/акцию",Лента,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
"Див доход, ао, %",Лента,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Дивиденды/прибыль, %",Лента,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",Лента,,,,,,,,,,,,,,20.0,28.5,36.0,44.1,52.7,64.7,82.8,80.1,85.9,105.2
"Себестоимость, млрд руб",Лента,,,,,,,,,,,,,,112.8,150.1,196.5,238.6,286.9,324.8,325.5,343.7,372.7,413.9
"Расх на персонал, млрд руб",Лента,,,,,,,,,,,,,,,,17.5,21.0,24.8,25.2,28.1,31.3,35.4,45.7
"Процентные расходы, млрд руб",Лента,,,,,,,,,,,,,,,,10.0,10.1,10.9,10.4,9.3,9.9,9.4,5.21
"Активы, млрд руб",Лента,,,,,,,,,,,,,,,,173.4,226.2,246.7,278.1,324.7,277.4,343.0,
"Чистые активы, млрд руб",Лента,,,,,,,,,,,,,,4.92,16.7,47.1,58.4,71.8,82.8,78.2,94.5,107.0,
"Долг, млрд руб",Лента,,,,,,,,,,,,,,46.0,71.2,75.9,102.2,107.1,127.1,182.7,117.5,88.4,86.5
"Наличность, млрд руб",Лента,,,,,,,,,,,,,,6.21,12.0,22.5,13.0,14.3,33.8,73.4,20.7,32.0,23.3
"Чистый долг, млрд руб",Лента,,,,,,,,,,,,,,39.8,59.2,53.5,89.2,92.8,93.3,109.3,96.7,56.4,63.2
"Цена акции ао, руб",Лента,,,,,,,,,,,,,,,364.0,498.0,492.0,336.0,214.0,192.0,262.9,998.0,700.0
"Число акций ао, млн",Лента,,,,,,,,,,,,,,486.6,486.6,486.6,486.6,486.6,486.6,487.9,487.9,97.6,116.0
"Free Float, %",Лента,,,,,,,,,,,,,,,,,,0.586,,0.21,0.21,0.17,
"Капитализация, млрд руб",Лента,,,,,,,,,,,,,,0.0,177.1,242.3,239.4,163.5,104.1,93.7,128.3,97.4,81.2
"EV, млрд руб",Лента,,,,,,,,,,,,,,39.8,236.3,295.8,328.6,256.3,197.4,203.0,225.0,153.8,144.4
"Баланс стоимость, млрд руб",Лента,,,,,,,,,,,,,,4.92,16.7,46.0,56.5,70.0,80.8,75.9,91.9,103.9,0.0
"EPS, руб",Лента,,,,,,,,,,,,,,14.7,18.7,21.1,23.0,27.3,24.2,-5.73,30.7,125.4,75.4
"FCF/акцию, руб",Лента,,,,,,,,,,,,,,0.0,0.0,0.0,-46.9,-6.58,-0.51,34.8,46.5,72.8,74.1
"BV/акцию, руб",Лента,,,,,,,,,,,,,,10.1,34.4,94.6,116.1,143.8,166.1,155.5,188.3,1065.0,0.0
"Рентаб EBITDA, %",Лента,,,,,,,,,,,,,,0.11199999999999999,0.11,0.111,0.10400000000000001,0.09699999999999999,0.08800000000000001,0.095,0.10099999999999999,0.09699999999999999,0.064
"Чистая рентаб, %",Лента,,,,,,,,,,,,,,0.05,0.047,0.040999999999999995,0.037000000000000005,0.036000000000000004,0.028999999999999998,-0.006999999999999999,0.034,0.025,0.016
"Доходность FCF, %",Лента,,,,,,,,,,,,,,,0.0,0.0,-0.095,-0.02,-0.002,0.18100000000000002,0.177,0.073,0.106
"ROE, %",Лента,,,,,,,,,,,,,,1.454,0.544,0.218,0.192,0.185,0.14300000000000002,-0.036000000000000004,0.158,0.114,
"ROA, %",Лента,,,,,,,,,,,,,,,,0.059000000000000004,0.05,0.054000000000000006,0.042,-0.009000000000000001,0.054000000000000006,0.036000000000000004,
P/E,Лента,,,,,,,,,,,,,,0.0,19.5,23.6,21.4,12.3,8.83,-33.5,8.57,7.96,9.28
P/S,Лента,,,,,,,,,,,,,,0.0,0.91,0.96,0.78,0.45,0.25,0.22,0.29,0.2,0.15
P/BV,Лента,,,,,,,,,,,,,,0.0,10.6,5.26,4.24,2.34,1.29,1.23,1.4,0.94,
EV/EBITDA,Лента,,,,,,,,,,,,,,2.47,11.0,10.5,10.3,7.22,5.45,5.14,5.01,3.28,4.2
Долг/EBITDA,Лента,,,,,,,,,,,,,,2.47,2.77,1.9,2.81,2.61,2.58,2.77,2.15,1.2,1.84
"Персонал, чел",Лента,,,,,,,,,,,,,,,35100.0,38414.0,45689.0,42366.0,45759.0,48391.0,51832.0,52857.0,
"Производительность труда, млн руб/чел/год",Лента,,,,,,,,,,,,,,,5.53,6.58,6.71,8.62,9.04,8.63,8.6,9.15,
"Расходы/чел/год, тыс.р",Лента,,,,,,,,,,,,,,,0.0,455.7,460.0,586.5,550.8,580.7,603.9,670.1,
"R&D/CAPEX, %",Лента,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Лента,,,,,,,,,,,,,,0.0,0.0,0.0,0.14,0.07,0.05,0.03,0.02,0.02,0.02
Присутствие на смартлабе,Лента,,,,,,,,,,,,,,,,,,,,,,,5.0
Сайт для инвесторов,Лента,,,,,,,,,,,,,,,,,,,,,,,5.0
Обратная связь,Лента,,,,,,,,,,,,,,,,,,,,,,,5.0
Дата отчета,ЛСР Группа,,,,,,,,,,,,12.09.2019,12.09.2019,12.09.2019,29.06.2018,29.06.2018,29.06.2018,28.05.2018,19.03.2019,13.03.2020,22.03.2021,24.03.2022,29.08.2022
Валюта отчета,ЛСР Группа,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Контракты на продажу м, тыс.м2",ЛСР Группа,,,,,,,,,,,,,,,,611.0,681.0,640.0,920.0,817.0,826.0,613.0,608.0
"Контракты на продажу руб, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,54.9,70.6,65.3,90.4,84.0,95.0,96.0,102.0
"Новые площади на продажу, тыс.м2",ЛСР Группа,,,,,,,,,,,,,,,,874.0,729.0,780.0,888.0,835.0,787.0,919.0,835.0
"Доля ипотечных сделок, %",ЛСР Группа,,,,,,,,,,,,,,,,0.33,0.38,0.47,0.54,0.47,0.64,0.66,0.75
"Средняя цена квадратного метра, тыс.руб/м2",ЛСР Группа,,,,,,,,,,,,,,,,,104.0,102.0,98.0,112.0,129.0,,
"Выручка, млрд руб",ЛСР Группа,,,,,,,,,,,,51.9,61.1,60.2,92.3,86.8,106.5,138.5,146.4,110.4,118.1,130.5,141.1
"Операционная прибыль, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,13.8,14.0,22.4,24.8,16.6,22.7,31.7,36.8
"EBITDA, млрд руб",ЛСР Группа,,,,,,,,,,,,10.3,12.5,11.7,21.2,18.6,19.3,25.2,36.4,21.0,27.4,35.8,40.8
"Чистая прибыль, млрд руб",ЛСР Группа,,,,,,,,,,,,2.43,4.91,3.29,9.2,10.6,9.16,15.9,16.2,7.47,12.0,16.3,17.0
"Операционный денежный поток, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,-8.33,-6.22,-5.74,20.1,12.7,0.236,-56.0,-51.2
"CAPEX, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,3.24,2.87,1.41,1.19,0.87,2.3,5.99,5.92
"FCF, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,-8.91,-7.07,-4.86,21.1,12.8,-1.14,-60.3,-55.1
"Див.выплата, млрд руб",ЛСР Группа,,,,,,,,,,,1.5,2.0,2.0,4.1,8.0,8.04,8.04,8.04,8.0,3.09,6.08,,
"Дивиденд, руб/акцию",ЛСР Группа,,,,,,,,,,,15.0,20.0,20.0,40.0,78.0,78.0,78.0,78.0,78.0,30.0,59.0,,
"Див доход, ао, %",ЛСР Группа,,,,,,,,,,,0.015,0.044000000000000004,0.036000000000000004,0.065,0.17,0.11599999999999999,0.08199999999999999,0.094,0.13,0.039,0.068,0.0,0.0
"Дивиденды/прибыль, %",ЛСР Группа,,,,,,,,,,,,0.82,0.41,1.25,0.87,0.75,0.88,0.51,0.49,0.41,0.51,0.0,0.0
"Опер. расходы, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,12.3,14.7,11.5,16.7,16.8,16.3,21.1,11.5
"Себестоимость, млрд руб",ЛСР Группа,,,,,,,,,,,,,,41.4,66.3,60.7,77.8,104.6,104.8,77.1,79.0,77.8,80.7
"Расх на персонал, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,12.5,13.1,13.8,12.1,11.4,12.8,14.7,
"Процентные расходы, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,3.16,4.62,6.2,5.49,6.5,6.4,8.06,13.5
"Активы, млрд руб",ЛСР Группа,,,,,,,,,,,,,,,,210.3,251.9,251.6,259.5,264.8,282.4,348.9,385.7
"Чистые активы, млрд руб",ЛСР Группа,,,,,,,,,,,,,,60.3,65.8,68.0,68.5,77.7,84.4,83.9,91.7,92.8,96.8
"Долг, млрд руб",ЛСР Группа,,,,,,,,,,,,,,34.1,27.4,32.9,55.6,72.8,86.1,89.6,102.6,169.3,185.3
"Наличность, млрд руб",ЛСР Группа,,,,,,,,,,,,,,5.9,25.3,20.4,25.6,29.7,55.8,66.7,85.8,100.5,111.1
"Чистый долг, млрд руб",ЛСР Группа,,,,,,,,,,,0.0,0.0,0.0,28.2,2.09,12.4,29.9,43.1,30.3,22.9,16.8,68.8,74.2
"Цена акции ао, руб",ЛСР Группа,,,,,,,,,,,1028.0,454.0,562.0,611.0,458.0,673.0,952.0,826.5,597.8,764.0,870.8,609.2,467.2
"Число акций ао, млн",ЛСР Группа,,,,,,,,,,,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,100.2,100.2,100.2,100.2,100.2
"Free Float, %",ЛСР Группа,,,,,,,,,,,,,,,,0.32,0.32299999999999995,0.345,0.319,0.41600000000000004,0.41700000000000004,,
"Капитализация, млрд руб",ЛСР Группа,,,,,,,,,,,105.9,46.8,57.9,63.0,47.2,69.3,98.1,85.2,59.9,76.6,87.3,61.1,46.8
"EV, млрд руб",ЛСР Группа,,,,,,,,,,,105.9,46.8,57.9,91.1,49.3,81.8,128.0,128.2,90.2,99.5,104.1,129.9,121.1
"Баланс стоимость, млрд руб",ЛСР Группа,,,,,,,,,,,0.0,0.0,0.0,60.3,65.8,63.6,64.1,73.4,80.3,79.9,87.7,88.6,92.5
"EPS, руб",ЛСР Группа,,,,,,,,,,,0.0,23.6,47.7,32.0,89.3,103.3,88.9,154.0,161.9,74.5,120.0,162.3,169.4
"FCF/акцию, руб",ЛСР Группа,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-86.5,-68.6,-47.2,210.4,127.3,-11.3,-601.4,-549.9
"BV/акцию, руб",ЛСР Группа,,,,,,,,,,,0.0,0.0,0.0,585.0,639.1,617.5,622.6,712.7,800.9,797.1,875.0,883.6,923.0
"Рентаб EBITDA, %",ЛСР Группа,,,,,,,,,,,,0.198,0.204,0.195,0.22899999999999998,0.215,0.18100000000000002,0.182,0.249,0.19,0.23199999999999998,0.27399999999999997,0.289
"Чистая рентаб, %",ЛСР Группа,,,,,,,,,,,,0.047,0.08,0.055,0.1,0.12300000000000001,0.086,0.115,0.111,0.068,0.102,0.125,0.12
"Доходность FCF, %",ЛСР Группа,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.129,-0.07200000000000001,-0.057,0.35200000000000004,0.16699999999999998,-0.013000000000000001,-0.987,-1.177
"ROE, %",ЛСР Группа,,,,,,,,,,,,,,0.055,0.14,0.157,0.134,0.204,0.192,0.08900000000000001,0.131,0.175,0.175
"ROA, %",ЛСР Группа,,,,,,,,,,,,,,,,0.051,0.036000000000000004,0.063,0.063,0.027999999999999997,0.043,0.047,0.044000000000000004
P/E,ЛСР Группа,,,,,,,,,,,,19.2,11.8,19.1,5.13,6.51,10.7,5.37,3.69,10.3,7.26,3.75,2.76
P/S,ЛСР Группа,,,,,,,,,,,,0.9,0.95,1.05,0.51,0.8,0.92,0.61,0.41,0.69,0.74,0.47,0.33
P/BV,ЛСР Группа,,,,,,,,,,,,,,1.04,0.72,1.09,1.53,1.16,0.75,0.96,1.0,0.69,0.51
EV/EBITDA,ЛСР Группа,,,,,,,,,,,,4.55,4.65,7.77,2.33,4.39,6.63,5.08,2.48,4.73,3.8,3.63,2.96
Долг/EBITDA,ЛСР Группа,,,,,,,,,,,,0.0,0.0,2.4,0.1,0.67,1.55,1.71,0.83,1.09,0.61,1.92,1.82
"Персонал, чел",ЛСР Группа,,,,,,,,,,,,,,,,,,,,,9453.0,,
"Производительность труда, млн руб/чел/год",ЛСР Группа,,,,,,,,,,,,,,,,,,,,,12.5,,
"Расходы/чел/год, тыс.р",ЛСР Группа,,,,,,,,,,,,,,,,,,,,,1349.0,,
"R&D/CAPEX, %",ЛСР Группа,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",ЛСР Группа,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.04,0.03,0.01,0.01,0.01,0.02,0.05,0.04
Дата отчета,Лукойл,,,,,,,,,,,,,,,05.03.2022,30.03.2020,27.04.2018,24.04.2018,04.03.2019,10.03.2020,10.03.2021,02.03.2022,02.03.2022
Валюта отчета,Лукойл,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Добыча нефти, млн т",Лукойл,,,,,,,,,,,,90.9,89.9,90.8,97.2,100.7,92.0,87.2,87.1,87.5,80.1,81.1,21.5
"Переработка нефти, млн т",Лукойл,,,,,,,,,,,,,63.8,64.2,64.1,64.5,66.1,67.2,67.3,68.7,58.6,63.0,15.5
"Добыча газа, млрд м3",Лукойл,,,,,,,,,,,,,19.4,20.4,26.1,20.3,20.3,28.8,33.5,35.0,29.0,32.2,8.56
"Выручка, млрд руб",Лукойл,,,,,,,,,3164.0,2453.0,3199.0,4317.0,4327.0,4505.0,5505.0,5749.0,5227.0,5937.0,8036.0,7841.0,5639.0,9431.0,9431.0
"Операционная прибыль, млрд руб",Лукойл,,,,,,,,,,,,,,,412.3,465.7,419.1,506.5,771.7,821.1,281.7,978.9,978.9
"EBITDA, млрд руб",Лукойл,,,,,,,,,464.2,408.3,489.1,601.0,518.2,613.3,798.0,769.0,730.7,831.6,1115.0,1236.0,687.0,1404.0,1404.0
"Чистая прибыль, млрд руб",Лукойл,,,,,,,,,267.4,211.7,274.3,334.5,342.1,327.5,395.5,291.1,303.8,399.4,619.2,640.2,15.2,773.4,773.4
"Чистая прибыль н/с, млрд руб",Лукойл,,,,,,,,,,,,,,,,,206.8,418.8,,,,,
"Операционный денежный поток, млрд руб",Лукойл,,,,,,,,,,,,,,,651.4,849.0,752.3,758.5,1007.0,1152.0,776.6,1127.0,1127.0
"CAPEX, млрд руб",Лукойл,,,,,,,,,,,208.6,274.3,368.4,491.6,611.0,607.0,497.1,511.5,451.5,450.0,495.0,433.0,433.0
"FCF, млрд руб",Лукойл,,,,,,,,,110.9,72.6,210.3,233.9,199.9,20.5,72.0,248.0,255.1,247.0,555.1,701.9,281.0,693.6,693.6
"Див.выплата, млрд руб",Лукойл,6.8,12.8,17.0,20.4,23.8,28.1,32.3,35.7,42.5,44.2,50.2,63.8,76.6,93.6,131.0,151.2,165.9,182.9,187.5,380.0,169.0,571.2,515.7
"Дивиденд, руб/акцию",Лукойл,8.0,15.0,20.0,24.0,28.0,33.0,38.0,42.0,50.0,52.0,59.0,75.0,90.0,110.0,154.0,177.0,195.0,215.0,250.0,542.0,259.0,877.0,793.0
"Див доход, ао, %",Лукойл,0.031,0.040999999999999995,0.040999999999999995,0.035,0.034,0.019,0.017,0.02,0.052000000000000005,0.031,0.034,0.044000000000000004,0.045,0.054000000000000006,0.069,0.075,0.057,0.064,0.05,0.08800000000000001,0.05,0.134,0.19699999999999998
"Дивиденды/прибыль, %",Лукойл,,,,,,,,,0.16,0.21,0.18,0.19,0.22,0.29,0.33,0.52,0.55,0.46,0.3,0.59,11.12,0.74,0.67
"Опер. расходы, млрд руб",Лукойл,,,,,,,,,,,252.9,292.5,291.0,321.2,368.5,446.7,456.4,456.8,464.5,457.7,440.0,509.0,509.0
"Расх на персонал, млрд руб",Лукойл,,,,,,,,,,,,,,,133.9,158.3,185.3,164.4,199.5,208.4,223.0,235.5,235.5
"Процентные расходы, млрд руб",Лукойл,,,,,,,,,,,21.9,22.1,15.5,12.9,22.9,41.4,49.7,38.9,39.9,41.6,39.1,30.8,30.8
"Активы, млрд руб",Лукойл,,,,,,,,,,,,,,,4739.0,5021.0,5015.0,5226.0,5732.0,5947.0,5992.0,6865.0,6865.0
"Чистые активы, млрд руб",Лукойл,,,,,,,,,,,1804.0,2185.0,2223.0,2655.0,4564.0,3231.0,3221.0,3483.0,4066.0,3965.0,4123.0,4515.0,4515.0
"Долг, млрд руб",Лукойл,,,,,,,,,,,341.3,293.9,200.4,353.5,756.0,859.0,698.6,616.4,535.0,553.2,659.7,758.0,758.0
"Наличность, млрд руб",Лукойл,,,,,,,,,,,73.1,88.9,88.5,56.0,169.0,257.0,261.4,330.4,492.7,516.0,343.8,677.5,677.5
"Чистый долг, млрд руб",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.2,205.0,111.9,297.5,587.0,602.0,437.2,286.0,42.4,37.2,315.9,80.5,80.5
"Цена акции ао, руб",Лукойл,260.6,369.1,489.8,677.0,833.0,1705.0,2283.0,2067.0,961.6,1693.0,1742.0,1703.0,2000.0,2040.0,2225.0,2346.0,3449.0,3335.0,4997.0,6169.0,5183.0,6559.0,4030.0
"Число акций ао, млн",Лукойл,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,850.6,750.0,652.9,652.5,650.3,650.3
"Free Float, %",Лукойл,,,,,,,,,,,,,,,,0.34600000000000003,0.49,0.49200000000000005,0.54,0.55,0.59,0.55,
"Инсайдерское владение, %",Лукойл,,,,,,,,,,,,,,,0.505,,,,,,,,
"Капитализация, млрд руб",Лукойл,221.7,314.0,416.6,575.8,708.5,1450.0,1942.0,1758.0,817.9,1440.0,1482.0,1448.0,1701.0,1735.0,1893.0,1995.0,2934.0,2836.0,3748.0,4028.0,3382.0,4265.0,2621.0
"EV, млрд руб",Лукойл,221.7,314.0,416.6,575.8,708.5,1450.0,1942.0,1758.0,817.9,1440.0,1750.0,1653.0,1813.0,2033.0,2480.0,2597.0,3371.0,3122.0,3790.0,4065.0,3698.0,4346.0,2701.0
"Баланс стоимость, млрд руб",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,2141.0,2164.0,2613.0,4497.0,3179.0,3178.0,3442.0,4024.0,3922.0,4073.0,4471.0,4471.0
"EPS, руб",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.3,248.9,322.5,393.3,402.2,385.0,465.0,342.3,357.2,469.6,825.6,980.5,23.3,1189.0,1189.0
"FCF/акцию, руб",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.4,85.3,247.2,274.9,235.0,24.1,84.6,291.6,299.9,290.4,740.1,1075.0,430.7,1067.0,1067.0
"BV/акцию, руб",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,2517.0,2544.0,3072.0,5287.0,3738.0,3736.0,4046.0,5366.0,6007.0,6242.0,6874.0,6874.0
"Рентаб EBITDA, %",Лукойл,,,,,,,,,0.147,0.166,0.153,0.139,0.12,0.136,0.145,0.134,0.14,0.14,0.139,0.158,0.122,0.149,0.149
"Чистая рентаб, %",Лукойл,,,,,,,,,0.084,0.086,0.086,0.077,0.079,0.073,0.07200000000000001,0.051,0.057999999999999996,0.067,0.077,0.08199999999999999,0.003,0.08199999999999999,0.08199999999999999
"Доходность FCF, %",Лукойл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.05,0.142,0.161,0.11699999999999999,0.012,0.038,0.124,0.087,0.087,0.14800000000000002,0.174,0.083,0.163,0.265
"ROE, %",Лукойл,,,,,,,,,,,0.152,0.153,0.154,0.12300000000000001,0.087,0.09,0.094,0.115,0.152,0.161,0.004,0.171,0.171
"ROA, %",Лукойл,,,,,,,,,,,,,,,0.083,0.057999999999999996,0.061,0.076,0.10800000000000001,0.10800000000000001,0.003,0.113,0.113
P/E,Лукойл,,,,,,,,,3.06,6.8,5.4,4.33,4.97,5.3,4.78,6.85,9.66,7.1,6.05,6.29,222.5,5.51,3.39
P/S,Лукойл,,,,,,,,,0.26,0.59,0.46,0.34,0.39,0.39,0.34,0.35,0.56,0.48,0.47,0.51,0.6,0.45,0.28
P/BV,Лукойл,,,,,,,,,,,0.84,0.68,0.79,0.66,0.42,0.63,0.92,0.82,0.93,1.03,0.83,0.95,0.59
EV/EBITDA,Лукойл,,,,,,,,,1.76,3.53,3.58,2.75,3.5,3.31,3.11,3.38,4.61,3.75,3.4,3.29,5.38,3.1,1.92
Долг/EBITDA,Лукойл,,,,,,,,,0.0,0.0,0.55,0.34,0.22,0.49,0.74,0.78,0.6,0.34,0.04,0.03,0.46,0.06,0.06
"Персонал, чел",Лукойл,,,,,,,,,,,130000.0,120300.0,112000.0,109600.0,110300.0,106200.0,105500.0,103600.0,102500.0,101800.0,100800.0,,
"Производительность труда, млн руб/чел/год",Лукойл,,,,,,,,,,,24.6,35.9,38.6,41.1,49.9,54.1,49.5,57.3,78.4,77.0,55.9,,
"Расходы/чел/год, тыс.р",Лукойл,,,,,,,,,,,0.0,0.0,0.0,0.0,1214.0,1491.0,1756.0,1587.0,1946.0,2047.0,2212.0,,
"R&D/CAPEX, %",Лукойл,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Лукойл,,,,,,,,,0.0,0.0,0.07,0.06,0.09,0.11,0.11,0.11,0.1,0.09,0.06,0.06,0.09,0.05,0.05
IR рейтинг,Лукойл,,,,,,,,,,,,,,,,,,,,,,,3.6
Качество фин.отчетности,Лукойл,,,,,,,,,,,,,,,,,,,,,,,5.0
Презентации для инвесторов,Лукойл,,,,,,,,,,,,,,,,,,,,,,,5.0
Присутствие на смартлабе,Лукойл,,,,,,,,,,,,,,,,,,,,,,,1.0
Годовой отчет,Лукойл,,,,,,,,,,,,,,,,,,,,,,,5.0
Сайт для инвесторов,Лукойл,,,,,,,,,,,,,,,,,,,,,,,5.0
Календарь инвесторов,Лукойл,,,,,,,,,,,,,,,,,,,,,,,3.0
Обратная связь,Лукойл,,,,,,,,,,,,,,,,,,,,,,,1.0
Дата отчета,М.Видео,,,,,,,,,,,,,,29.06.2018,29.06.2018,29.06.2018,29.06.2018,29.06.2018,21.03.2019,24.03.2020,04.03.2021,05.03.2022,25.08.2022
Валюта отчета,М.Видео,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Число магазинов, шт",М.Видео,,,,,,,,,,,,,,,368.0,378.0,398.0,424.0,480.0,1038.0,1074.0,1258.0,1248.0
"Открыто новых магазинов, шт",М.Видео,,,,,,,,,,,,,,,,10.0,20.0,26.0,56.0,558.0,36.0,184.0,132.0
"Общ. площадь магазинов, тыс. м2",М.Видео,,,,,,,,,,,,,,,,1.0,1.0,937.0,1031.0,1997.0,2015.0,2147.0,2135.0
"Трафик, %",М.Видео,,,,,,,,,,,,,,,,,,,,,,,-0.043
"Средний чек, %",М.Видео,,,,,,,,,,,,,,,,,,,,,,0.092,-0.046
"Средний чек, руб",М.Видео,,,,,,,,,,,,,,,,,,,,,8980.0,9805.0,8905.0
"Торговый оборот GMV, млрд руб",М.Видео,,,,,,,,,,,,,,,,,,,,437.5,504.8,570.7,574.5
"Онлайн продажи, млрд руб",М.Видео,,,,,,,,,,,,,,,,,,,,144.0,300.4,387.0,381.6
"Доля онлайн продаж, %",М.Видео,,,,,,,,,,,,,,,,,,,,0.33,0.6,0.68,0.68
"Выручка, млрд руб",М.Видео,,,,,,,,,72.0,73.0,86.6,111.9,133.6,148.0,172.7,161.7,183.2,198.2,321.1,365.2,418.0,476.4,482.4
"Операционная прибыль, млрд руб",М.Видео,,,,,,,,,,,,,,,10.3,5.6,6.68,8.81,16.2,24.1,22.9,13.7,1.06
"EBITDA, млрд руб",М.Видео,,,,,,,,,,,,,,9.4,13.1,8.83,10.3,11.8,22.7,26.8,28.5,17.4,25.9
"Чистая прибыль, млрд руб",М.Видео,,,,,,,,,,,,,,5.7,8.17,4.55,5.55,6.95,7.72,9.09,6.54,2.38,1.81
"Чистая прибыль н/с, млрд руб",М.Видео,,,,,,,,,,,,,,,8.17,4.55,5.55,6.95,8.62,7.13,,,-3.75
"Операционный денежный поток, млрд руб",М.Видео,,,,,,,,,,,,,,,26.6,-6.55,13.4,5.02,23.2,18.1,31.0,19.9,28.7
"CAPEX, млрд руб",М.Видео,,,,,,,,,,,,,,,4.42,2.84,4.18,5.26,7.81,9.34,7.91,14.6,13.6
"FCF, млрд руб",М.Видео,,,,,,,,,,,,,,,22.6,-8.41,9.78,0.423,23.0,-2.25,12.9,-9.35,2.64
"Див.выплата, млрд руб",М.Видео,,,,,,,,,,,0.7,1.0,6.82,4.65,9.35,3.6,,,,11.4,6.8,,6.3
"Дивиденд, руб/акцию",М.Видео,,,,,,,,,0.0,2.3,3.9,35.8,13.8,45.0,52.0,20.0,,,,63.37,38.0,,35.0
"Див доход, ао, %",М.Видео,,,,,,,,,0.0,0.02,0.015,0.19699999999999998,0.057,0.151,0.42100000000000004,0.07400000000000001,0.0,0.0,0.0,0.122,0.053,0.0,0.217
"Дивиденды/прибыль, %",М.Видео,,,,,,,,,,,,,,0.82,1.14,0.79,0.0,0.0,0.0,1.25,1.04,0.0,3.48
"Опер. расходы, млрд руб",М.Видео,,,,,,,,,,,,,,33.6,35.8,33.3,36.3,38.3,62.5,67.0,76.3,81.2,88.4
"Себестоимость, млрд руб",М.Видео,,,,,,,,,,,64.2,82.7,100.6,109.7,126.5,122.8,140.3,151.7,242.5,274.1,322.8,381.4,377.8
"Расх на персонал, млрд руб",М.Видео,,,,,,,,,,,,,,,11.0,10.1,11.4,12.5,21.5,23.4,26.3,27.9,27.4
"Процентные расходы, млрд руб",М.Видео,,,,,,,,,,,,,,,0.068,0.191,0.056,0.0,2.82,12.3,11.8,14.2,21.0
"Активы, млрд руб",М.Видео,,,,,,,,,,,,,,,91.5,87.6,100.3,121.0,284.3,349.6,390.1,443.4,323.7
"Чистые активы, млрд руб",М.Видео,,,,,,,,,,,,,,14.2,14.3,14.0,16.0,23.2,30.9,32.1,33.6,23.2,18.5
"Долг, млрд руб",М.Видео,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,59.5,49.4,47.9,69.1,70.8
"Наличность, млрд руб",М.Видео,,,,,,,,,,,,,,11.5,26.1,11.5,18.8,17.8,25.5,4.74,7.44,12.1,2.87
"Чистый долг, млрд руб",М.Видео,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-11.5,-26.1,-11.5,-18.8,-17.8,34.0,44.7,40.5,57.0,67.9
"Цена акции ао, руб",М.Видео,,,,,,,,,25.5,117.0,266.8,181.4,243.0,298.0,123.4,268.5,387.5,415.0,410.0,518.6,715.1,437.9,161.4
